location;name;category;companyUrl;description;followerCount
Cuiabá, Mato Grosso;Síndico Legal;Companies;https://www.linkedin.com/company/sindicolegal/;Serviços jurídicos • Cuiabá, Mato Grosso;3 mil
São Paulo;Síndico do Prédio;Companies;https://www.linkedin.com/company/sindico-do-predio/;Serviços individuais e familiares • São Paulo;801
Taguatinga, Distrito Federal;Canal Super Síndico - Mailza Santos;Companies;https://www.linkedin.com/company/canalsupersindico/;Provedores de e-Learning • Taguatinga, Distrito Federal;2 mil
São Paulo;Síndico 5 Estrelas;Companies;https://www.linkedin.com/company/sindico-5-estrelas/;Setor imobiliário • São Paulo;527
São Paulo, SP;Mister Síndico;Companies;https://www.linkedin.com/company/mister-s%C3%ADndico/;Administração de serviços • São Paulo, SP;1 mil
;SINDICO PROFISSIONAL;Companies;https://www.linkedin.com/company/sindico-profissional/;;3 mil
;Sindico Online Gestão Condominial;Companies;https://www.linkedin.com/company/sindico-online-gest%C3%A3o-condominial/;;370
São Paulo, São Paulo;Assosindicos - A Casa do Síndico;Companies;https://www.linkedin.com/company/assosindicos-a-casa-do-sindico/;Organizações cívicas e sociais • São Paulo, São Paulo;542
Capão da Canoa, Rio Grande do Sul;CF Condomínios - Síndico Profissional;Companies;https://www.linkedin.com/company/cfcondom%C3%ADnios/;Administração de serviços • Capão da Canoa, Rio Grande do Sul;527
São Paulo;O Síndico Gestão de Condominio ltda-me;Companies;https://www.linkedin.com/company/o-s-ndico-gest-o-de-condominio-ltda-me/;Administração de serviços • São Paulo;437
Rio de Janeiro;Sindico RIO;Companies;https://www.linkedin.com/company/sindicorio/;Administração de serviços • Rio de Janeiro;144
;SINDICO;Companies;https://www.linkedin.com/company/sindico/;Beringen;186
Ikast, Ikast;Sindico Group A/S;Companies;https://www.linkedin.com/company/sindico-group-a-s/;Capital de risco e participações privadas • Ikast, Ikast;661
São Paulo, sp;Sindico Científico;Companies;https://www.linkedin.com/company/sindico-cient%C3%ADfico/;Setor imobiliário • São Paulo, sp;87
São Paulo, São Paulo;HModesto Consultoria ao Síndico Morador;Companies;https://www.linkedin.com/company/hmodesto-sindico-profissional/;Consultoria e serviços empresariais • São Paulo, São Paulo;249
São Paulo, SP;Alpine Síndico Profissional e Administração de Portfólio;Companies;https://www.linkedin.com/company/alpine-administracao-de-imoveis/;Setor imobiliário • São Paulo, SP;235
NOVA LIMA, MG;Síndico Além da Gestão;Companies;https://www.linkedin.com/company/o-sindico-e-a-engenharia/;Obras de infra-estrutura • NOVA LIMA, MG;75
São Caetano do Sul, SP;ABC Síndico Profissional;Companies;https://www.linkedin.com/company/abcsindicoprofissional/;Administração de serviços • São Caetano do Sul, SP;201
;Síndico TV;Companies;https://www.linkedin.com/company/s-ndico-tv/;Tecnologia, Informação e Internet;473
São Paulo, São Paulo;PR Síndico Profissional;Companies;https://www.linkedin.com/company/pr-sindico-profissional/;Administração de serviços • São Paulo, São Paulo;188
São Paulo, SP;Síndico Inova | Síndico Profissional;Companies;https://www.linkedin.com/company/sindicoinova/;Administração de serviços • São Paulo, SP;71
;profi-sindico assessoria condominial;Companies;https://www.linkedin.com/company/profi-sindico-assessoria-condominial/;Administração de serviços;193
São Paulo, SP;Sou Seu Síndico - Sindicatura Profissional;Companies;https://www.linkedin.com/company/souseusindico/;Administração de serviços • São Paulo, SP;195
São Paulo, SP;Construindo Um Síndico;Companies;https://www.linkedin.com/company/construindo-um-sindico/;Treinamento profissional e Coaching • São Paulo, SP;194
Brasília, DF;Jornal do Síndico DF;Companies;https://www.linkedin.com/company/jornaldosindicodf/;Notícias on-line • Brasília, DF;183
Belo horizonte, MG;Sr. Síndico Administração de Condomínios;Companies;https://www.linkedin.com/company/srsindico/;Administração de serviços • Belo horizonte, MG;162
Campinas, São Paulo;Soluciona Síndico;Companies;https://www.linkedin.com/company/soluciona-s%C3%ADndico/;Administração de serviços • Campinas, São Paulo;164
SAO PAULO, SP;Pró-Síndico Capacitação;Companies;https://www.linkedin.com/company/prosindicooficial/;Programas de administração educacional • SAO PAULO, SP;162
Rio de Janeiro, RJ;Seu Síndico Profissional;Companies;https://www.linkedin.com/company/seu-s%C3%ADndico-profissional/;Setor imobiliário • Rio de Janeiro, RJ;158
São Paulo, São Paulo;LA Borges - Sindico Profissional;Companies;https://www.linkedin.com/company/la-borges-sindico-profissional/;Administração de serviços • São Paulo, São Paulo;163
São Paulo;NS Síndico Profissional;Companies;https://www.linkedin.com/company/sindicoprofissional/;Administração de serviços • São Paulo;149
São Paulo;JJ CONSULTORIA SINDICO PROFISSIONAL;Companies;https://www.linkedin.com/company/jj-consultoria-sindico-profissional/;Consultoria e serviços empresariais • São Paulo;135
Ribeirão Preto, São Paulo;Síndico Ribeirão;Companies;https://www.linkedin.com/company/sindicoribeirao/;Administração de serviços • Ribeirão Preto, São Paulo;45
Americana;Canal do Síndico;Companies;https://www.linkedin.com/company/canaldosindico/;Administração pública • Americana;118
Belo Horizonte, Minas Gerais;Marco Antônio - Síndico Profissional;Companies;https://www.linkedin.com/company/marcoant%C3%B4nio-s%C3%ADndicoprofissional/;Administração de serviços • Belo Horizonte, Minas Gerais;121
Florianópolis, Santa Catarina;Casa do Síndico;Companies;https://www.linkedin.com/company/casadosindicobr/;Administração de serviços • Florianópolis, Santa Catarina;95
São Paulo;Skyliner - Síndico Profissional;Companies;https://www.linkedin.com/company/skyliner-sindico-profissional/;Administração de serviços • São Paulo;119
Goiânia, Goias;Casa do Síndico;Companies;https://www.linkedin.com/company/casa-do-s%C3%ADndico/;Suprimentos e equipamentos comerciais • Goiânia, Goias;96
São Paulo, São Paulo;GPM Consultoria - Síndico Profissional e Administração;Companies;https://www.linkedin.com/company/gpms%C3%ADndicoprofissional/;Administração de serviços • São Paulo, São Paulo;99
São Paulo, São Paulo;Falavigna Condominial e Síndico Profissional;Companies;https://www.linkedin.com/company/falavigna-condominial/;Administração de serviços • São Paulo, São Paulo;100
São Paulo;DSP Síndico Profissional;Companies;https://www.linkedin.com/company/dspsindicoprofissional/;Administração de serviços • São Paulo;93
São Paulo;Sttratégia Síndico Profissional;Companies;https://www.linkedin.com/company/sttrat%C3%A9gia-s%C3%ADndico-profissional/;Setor imobiliário • São Paulo;80
Goiânia, GO;Mural do Síndico;Companies;https://www.linkedin.com/company/mural-do-sindico/;Serviços de publicidade • Goiânia, GO;66
Recife, Pernambuco;Síndico Prime;Companies;https://www.linkedin.com/company/sindicoprime/;Consultoria e serviços empresariais • Recife, Pernambuco;18
São Paulo;Fala Síndico Brasil;Companies;https://www.linkedin.com/company/falasindicobrasil/;Mídia de áudio e vídeo on-line • São Paulo;55
Belo Horizonte, Minas Gerais;Seu Síndico;Companies;https://www.linkedin.com/company/seu-s%C3%ADndico/;Administração de serviços • Belo Horizonte, Minas Gerais;62
Petrópolis, RJ;HG Home Gestão Condominial - Síndico Profissional;Companies;https://www.linkedin.com/company/homegestaocondominial/;Administração de serviços • Petrópolis, RJ;70
;Síndico Curitiba;Companies;https://www.linkedin.com/company/s%C3%ADndico-curitiba/;Administração de serviços;150
;HK Sindico Profissional;Companies;https://www.linkedin.com/company/hk-sindico-profissional/;Administração de serviços;372
São Paulo;Nosso Sindico.com;Companies;https://www.linkedin.com/company/nossosindico-com/;Obras de infra-estrutura • São Paulo;50
Rio de Janeiro;Guilherme T. ARM Síndico Profissional;Companies;https://www.linkedin.com/company/guitavaressindico/;Administração de serviços • Rio de Janeiro;55
;Síndico.in;Companies;https://www.linkedin.com/company/sindico-in/;Tecnologia, Informação e Internet;117
Santo Ângelo , Rio Grande do Sul;Vanguarda Administração de Condomínios e Síndico Profissional;Companies;https://www.linkedin.com/company/vanguardacondominios/;Administração de serviços • Santo Ângelo , Rio Grande do Sul;46
São Paulo, SP;Mestre Síndico;Companies;https://www.linkedin.com/company/mestres%C3%ADndico/;Consultoria e serviços empresariais • São Paulo, SP;42
Santos, SP;Toca no Síndico;Companies;https://www.linkedin.com/company/tocanosindico/;Administração de serviços • Santos, SP;40
Juiz de Fora, Minas Gerais;Bruno Castilho - Síndico Profissional;Companies;https://www.linkedin.com/company/bruno-casrtilho-s%C3%ADndico-profissional/;Administração de serviços • Juiz de Fora, Minas Gerais;39
São José dos Campos, SP;Marcelo Rodrigues Sindico Profissional;Companies;https://www.linkedin.com/company/marcelo-rodrigues-sindico-profissional/;Administração de serviços • São José dos Campos, SP;40
São Paulo, SP;Alexandre De Vivo Síndico Profissional;Companies;https://www.linkedin.com/company/avsindpro/;Administração de serviços • São Paulo, SP;39
;Gesta Patrimonial - Síndico Profissional;Companies;https://www.linkedin.com/company/gesta-patrimonial---s%C3%ADndico-profissional/;;274
São Paulo, São Paulo;Porto De Vasconcellos - Síndico Profissiona;Companies;https://www.linkedin.com/company/porto-de-vasconcellos-s%C3%ADndico-profissiona/;Consultoria e serviços empresariais • São Paulo, São Paulo;39
São Paulo, São Paulo;L.A. Síndico Profissional;Companies;https://www.linkedin.com/company/l-a-s%C3%ADndico-profissional/;Administração de serviços • São Paulo, São Paulo;38
Rio de Janeiro, RJ;Expo Sindico;Companies;https://www.linkedin.com/company/expo-sindico/;Serviços de publicidade • Rio de Janeiro, RJ;36
Itapema;JVA Síndico Profissional;Companies;https://www.linkedin.com/company/jva-s%C3%ADndico-profissional/;Serviços jurídicos • Itapema;34
Caxias do Sul, Rio Grande do Sul;Sindicosserra - Síndico Profissional;Companies;https://www.linkedin.com/company/sindicosserra-s%C3%ADndico-profissional/;Setor imobiliário • Caxias do Sul, Rio Grande do Sul;11
Salvador, BAHIA;Síndico Agile;Companies;https://www.linkedin.com/company/sindicoagile/;Administração de serviços • Salvador, BAHIA;10
São Paulo, SP;SUPORTE ORGANIZACIONAL apoio operacional ao síndico;Companies;https://www.linkedin.com/company/suporteorganizacional/;Administração de serviços • São Paulo, SP;29
;Sindico APP;Companies;https://www.linkedin.com/company/sindico-app/;Tecnologia da informação e serviços;65
;Síndico.in;Companies;https://www.linkedin.com/company/sindicoin/;Setor imobiliário;60
São Gonçalo , Rio de Janeiro;ABC do Síndico;Companies;https://www.linkedin.com/company/abcdosindicobr/;Consultoria e serviços empresariais • São Gonçalo , Rio de Janeiro;11
Taubaté, SP;GRS ADMINISTRAÇÃO DE CONDOMINIOS e SINDICO PROFISSIONAL;Companies;https://www.linkedin.com/company/grs-administra%C3%A7%C3%A3o-de-condominios/;Administração de serviços • Taubaté, SP;165
Campinas, São Paulo;Espaço Síndico;Companies;https://www.linkedin.com/company/espacosindico/;Serviços administrativos e de suporte • Campinas, São Paulo;23
Juiz de Fora, Minas Gerais;Solução Síndico Profissional;Companies;https://www.linkedin.com/company/solu%C3%A7%C3%A3o-s%C3%ADndico-profissional/;Administração de serviços • Juiz de Fora, Minas Gerais;25
Belo Horizonte, Minas Gerais;Comsind - Companhia Do Sindico;Companies;https://www.linkedin.com/company/comsind---companhia-do-sindico/;Locações não residenciais • Belo Horizonte, Minas Gerais;67
Belo Horizonte, Minas Gerais;Gleiderson Síndico Profissional;Companies;https://www.linkedin.com/company/gleiderson-s%C3%ADndico-profissional/;Administração de serviços • Belo Horizonte, Minas Gerais;23
Rio de Janeiro;Seu Síndico Online;Companies;https://www.linkedin.com/company/seu-s%C3%ADndico-online/;Administração de serviços • Rio de Janeiro;19
Fortaleza, CE;A E SINDICO PROFISSIONAL;Companies;https://www.linkedin.com/company/a-e-sindico-profissional/;Administração de serviços • Fortaleza, CE;16
Curitiba, Paraná;Vida De Síndico;Companies;https://www.linkedin.com/company/vidadesindico/;Desenvolvimento de software • Curitiba, Paraná;80
Cascavel, Paraná;TOP Síndico - Síndico Profissional;Companies;https://www.linkedin.com/company/top-s%C3%ADndico-s%C3%ADndico-profissional/;Consultoria e serviços empresariais • Cascavel, Paraná;13
Rio de Janeiro, Rio de Janeiro;Club do Síndico;Companies;https://www.linkedin.com/company/club-do-sindico/;Provedores de e-Learning • Rio de Janeiro, Rio de Janeiro;9
Niterói;Síndico Profissional;Companies;https://www.linkedin.com/company/s%C3%ADndico-profissional/;Contabilidade • Niterói;16
Sao Paulo, São Paulo;Felipe Bonavite - Sindico Profissional;Companies;https://www.linkedin.com/company/felipe-bonavite---sindico-profissional/;Locações não residenciais • Sao Paulo, São Paulo;37
São Caetano do Sul;Semana do síndico;Companies;https://www.linkedin.com/company/semana-do-s%C3%ADndico/;Produção de mídia • São Caetano do Sul;10
Salvador, Bahia;G&A Síndico Profissional;Companies;https://www.linkedin.com/company/gasindicoprofissional/;Administração de serviços • Salvador, Bahia;5
Goiânia;Pró Síndico Cobrança de Condomínios Ltda.;Companies;https://www.linkedin.com/company/pr%C3%B3-s%C3%ADndico-cobran%C3%A7a-de-condom%C3%ADnios-ltda./;Setor imobiliário • Goiânia;26
;Sindico Online Serviços Ltda;Companies;https://www.linkedin.com/company/sindico-online-servi%C3%A7os-ltda/;;18
;Expo Síndico;Companies;https://www.linkedin.com/company/expos%C3%ADndico/;Entretenimento;44
;Sindico Online Servi?os Ltda;Companies;https://www.linkedin.com/company/sindico-online-servi%CC%A4os-ltda/;;15
;Revista Síndico;Companies;https://www.linkedin.com/company/revista-s%C3%ADndico/;Setor imobiliário;33
;GPM Consultoria - Síndico Profissional e Administração;Companies;https://www.linkedin.com/company/gpmconsultoria/;;43
Rio De Janeiro, Rj;Dac Sindico Profissional;Companies;https://www.linkedin.com/company/dac-sindico-profissional/;Serviços de eletricidade, gás, água e esgoto • Rio De Janeiro, Rj;31
Anapolis, Goiás;Zello Condominios Sindico Profissional;Companies;https://www.linkedin.com/company/zello-condominios-sindico-profissional/;Serviços de eletricidade, gás, água e esgoto • Anapolis, Goiás;31
São Paulo, São Paulo;O Sindico Gestao De Condominios;Companies;https://www.linkedin.com/company/o-sindico-gestao-de-condominios/;Serviços de eletricidade, gás, água e esgoto • São Paulo, São Paulo;26
;Studio Legale SIndico-Serantoni;Companies;https://www.linkedin.com/company/studio-legale-sindico-serantoni/;;25
Santos;Síndico Service;Companies;https://www.linkedin.com/company/s%C3%ADndico-service/;Setor imobiliário • Santos;9
Hortolândia;Síndico Profissional em Hortolandia/SP;Companies;https://www.linkedin.com/company/s%C3%ADndico-profissional-em-hortolandia-sp/;Setor imobiliário • Hortolândia;9
Belo Horizonte, Minas Gerais;Lmx - Sindico Service;Companies;https://www.linkedin.com/company/lmx---sindico-service/;Imóveis comerciais • Belo Horizonte, Minas Gerais;22
Sao Paulo, São Paulo;O Sindico;Companies;https://www.linkedin.com/company/o-sindico/;Serviços de eletricidade, gás, água e esgoto • Sao Paulo, São Paulo;25
Taubate, São Paulo;Agencia Taubate Servicos Auxiliares Ao Sindico;Companies;https://www.linkedin.com/company/agencia-taubate-servicos-auxiliares-ao-sindico/;Serviços de eletricidade, gás, água e esgoto • Taubate, São Paulo;26
São José dos Pinhais;Síndico Geison Mattos;Companies;https://www.linkedin.com/company/s%C3%ADndico-geison-mattos/;Consultoria e serviços empresariais • São José dos Pinhais;8
Salvador;Síndico Profissional em Salvador;Companies;https://www.linkedin.com/company/s%C3%ADndico-profissional-em-salvador/;Setor imobiliário • Salvador;8
Porto Alegre, Rs;Casa Do Sindico;Companies;https://www.linkedin.com/company/casa-do-sindico/;Varejo • Porto Alegre, Rs;17
;Sou Sindico;Companies;https://www.linkedin.com/company/sou-sindico/;Sao Paulo, Sp;20
Curitiba, Paraná;Vida De Sindico;Companies;https://www.linkedin.com/company/vida-de-sindico/;Desenvolvimento de software • Curitiba, Paraná;18
;Profi-Sindico;Companies;https://www.linkedin.com/company/profi-sindico/;;17
;alô síndico;Companies;https://www.linkedin.com/company/al%C3%B4-s%C3%ADndico/;Obras de infra-estrutura;18
Brasília;Jornal do Síndico;Companies;https://www.linkedin.com/company/jornal-do-s%C3%ADndico/;Publicação de livros e periódicos • Brasília;9
;Sr. Síndico Profissional;Companies;https://www.linkedin.com/company/sr-s%C3%ADndico-profissional/;Setor imobiliário;17
Contagem, Mg;SOS do SÍNDICO Administradora E Conservadora De Condomínios;Companies;https://www.linkedin.com/company/sos-do-s%C3%ADndico-administradora-e-conservadora-de-condom%C3%ADnios/;Serviços de eletricidade, gás, água e esgoto • Contagem, Mg;10
São José dos Campos, São Paulo;Agencia Aquarius Servicos Auxiliares Ao Sindico;Companies;https://www.linkedin.com/company/agencia-aquarius-servicos-auxiliares-ao-sindico/;Serviços de eletricidade, gás, água e esgoto • São José dos Campos, São Paulo;13
Belo Horizonte, Mg;Bilbor Protecoes - Casa Do Sindico Bh;Companies;https://www.linkedin.com/company/bilbor-protecoes---casa-do-sindico-bh/;Fabricação de máquinas industriais • Belo Horizonte, Mg;14
Belo Horizonte, Minas Gerais;Agencia Belo Horizonte Servicos Auxiliares Ao Sindico;Companies;https://www.linkedin.com/company/agencia-belo-horizonte-servicos-auxiliares-ao-sindico/;Serviços de eletricidade, gás, água e esgoto • Belo Horizonte, Minas Gerais;17
Sao Paulo, Sp;Lab Prestacao De Servicos De Sindico Profissional;Companies;https://www.linkedin.com/company/lab-prestacao-de-servicos-de-sindico-profissional/;Segurança e investigações • Sao Paulo, Sp;16
Belo Horizonte;Doutor Síndico;Companies;https://www.linkedin.com/company/doutor-s%C3%ADndico/;Setor imobiliário • Belo Horizonte;11
;Olho no Síndico;Companies;https://www.linkedin.com/company/olho-no-s%C3%ADndico/;Serviços e consultoria de TI;14
Brasília, Distrito Federal;Portal Síndico Profissional;Companies;https://www.linkedin.com/company/portal-s%C3%ADndico-profissional/;Serviços individuais e familiares • Brasília, Distrito Federal;11
Sorocaba, Sp;Lojão do Síndico;Companies;https://www.linkedin.com/company/loj%C3%A3o-do-s%C3%ADndico/;Varejo • Sorocaba, Sp;3
São Paulo, Sp;Sindico Profissional Marcelino;Companies;https://www.linkedin.com/company/sindico-profissional-marcelino/;Locações não residenciais • São Paulo, Sp;0
Belo Horizonte, Minas Gerais;313234-6923 Casa Do Síndico Bh 312512-6923;Companies;https://www.linkedin.com/company/313234-6923-casa-do-s%C3%ADndico-bh-312512-6923/;Segurança e investigações • Belo Horizonte, Minas Gerais;7
Sao Jose Dos Campos, São Paulo;Agencia Adyana Servicos Auxiliares Ao Sindico;Companies;https://www.linkedin.com/company/agencia-adyana-servicos-auxiliares-ao-sindico/;Serviços de eletricidade, gás, água e esgoto • Sao Jose Dos Campos, São Paulo;9
Guarujá, São Paulo;One Beach Síndico;Companies;https://www.linkedin.com/company/one-beach-s%C3%ADndico/;Setor imobiliário • Guarujá, São Paulo;8
Rio De Janeiro, Rj;Sindico Profissional Rio de Janeiro;Companies;https://www.linkedin.com/company/sindico-profissional-rio-de-janeiro/;Consultoria e serviços empresariais • Rio De Janeiro, Rj;0
Fortaleza, Ce;Síndico Executivo;Companies;https://www.linkedin.com/company/s%C3%ADndico-executivo/;Varejo • Fortaleza, Ce;2
